Date,Open,High,Low,Close,Adj Close,Volume
2020-02-05,73.121002,73.192001,71.528000,72.411499,72.411499,39724000
2020-02-06,72.516502,74.099998,72.478500,73.811501,73.811501,33588000
2020-02-07,73.364998,74.292000,73.317497,73.961502,73.961502,23446000
2020-02-10,73.716003,75.474998,73.716003,75.433998,75.433998,28398000
2020-02-11,75.590500,76.481499,75.281898,75.439499,75.439499,26892000
2020-02-12,75.723999,76.034752,75.405502,75.913498,75.913498,23352000
2020-02-13,75.634499,76.359001,75.230003,75.733002,75.733002,18590000
2020-02-14,75.779999,76.037003,75.366997,76.037003,76.037003,23956000
2020-02-18,75.750000,76.581497,75.629501,75.983498,75.983498,22414000
2020-02-19,76.253502,76.605301,76.070000,76.334503,76.334503,18986000
2020-02-20,76.099998,76.482002,75.341003,75.907501,75.907501,21932000
2020-02-21,75.401497,75.610748,74.022003,74.255501,74.255501,34634000
2020-02-24,71.305496,71.848503,70.569504,71.079498,71.079498,57342000
2020-02-25,71.650002,71.906998,69.120003,69.422501,69.422501,49566000
2020-02-26,69.806999,70.785004,68.949997,69.658997,69.658997,44048000
2020-02-27,68.102997,68.585197,65.858498,65.904503,65.904503,59566000
2020-02-28,63.875000,67.056999,63.549999,66.966499,66.966499,75782000
2020-03-02,67.580498,69.543503,66.340752,69.455498,69.455498,48630000
2020-03-03,69.971001,70.507500,66.599998,67.069504,67.069504,48046000
2020-03-04,67.961502,69.404503,67.155502,69.325996,69.325996,38266000
2020-03-05,67.510002,67.945503,65.254997,65.952003,65.952003,51226000
2020-03-06,63.853001,65.310997,63.052502,64.920502,64.920502,53212000
2020-03-09,60.264999,62.737999,60.000000,60.778000,60.778000,67308000
2020-03-10,63.000000,64.057503,60.938499,64.019501,64.019501,52228000
2020-03-11,62.485001,63.048000,59.803501,60.770500,60.770500,52170000
2020-03-12,56.299999,59.693501,55.665001,55.745499,55.745499,84534000
2020-03-13,58.950001,60.987999,55.857151,60.986500,60.986500,74002000
2020-03-16,54.799999,57.613350,53.722000,54.216499,54.216499,85048000
2020-03-17,54.655499,56.542999,52.800499,55.990002,55.990002,77230000
2020-03-18,52.825500,55.325001,51.863998,54.840000,54.840000,84668000
2020-03-19,54.652500,57.898499,53.005402,55.764500,55.764500,73022000
